Number sample	Label	EC	EC_control	Long	Lat	Long_dec	Lat_dec	Altitude	Field	Comment	Date	pH		
1	SVH1	0,34		43,33,56,1	78,05,35,4	78.0931666666667	43.5655833333333	567	СВХ	 	23.05.22			#VALUE!
2	SVH2	0,37		43,34,05,7	78,05,43,5	78.0954166666667	43.56825	567	СВХ	 	23.05.22			#VALUE!
3	SVH3	1,59		43,34,05,6	78,05,44,1	78.0955833333333	43.5682222222222	567	СВХ	 	23.05.22			#VALUE!
4	SVH4	0,74		43,34,05,5	78,05,44,5	78.0956944444444	43.5681944444445	567	СВХ	 	23.05.22			#VALUE!
5	SVH5	0,82		43,34,05,4	78,05,44,9	78.0958055555556	43.5681666666667	566	СВХ	 	23.05.22			#VALUE!
6	SVH6	0,58		43,34,05,3	78,05,45,2	78.0958888888889	43.5681388888889	565	СВХ	 	23.05.22			#VALUE!
7	SVH7	0,51		43,34,05,2	78,05,45,6	78.096	43.5681111111111	565	СВХ	 	23.05.22			#VALUE!
8	SVH8	0,77		43,34,05,1	78,05,46,0	78.0961111111111	43.5680833333333	565	СВХ	 	23.05.22			#VALUE!
9	SVH9	2,6		43,34,04,9	78,05,46,5	78.09625	43.5680277777778	565	СВХ	 	23.05.22			#VALUE!
10	SVH10	2,33		43,34,04,8	78,05,46,8	78.0963333333333	43.568	565	СВХ	 	23.05.22			#VALUE!
11	SVH11	2,92		43,34,04,7	78,05,47,3	78.0964722222222	43.5679722222222	566	СВХ	 	23.05.22			#VALUE!
12	SVH12	3,24		43,34,04,7	78,05,47,7	78.0965833333333	43.5679722222222	566	СВХ	 	23.05.22			#VALUE!
13	SVH13	2,45		43,34,04,6	78,05,48,2	78.0967222222222	43.5679444444444	567	СВХ	 	23.05.22			#VALUE!
14	SVH14	2,51		43,34,04,6	78,05,48,5	78.0968055555555	43.5679444444444	567	СВХ	 	23.05.22			#VALUE!
15	SVH15	4,11		43,34,04,5	78,05,49,0	78.0969444444444	43.5679166666667	567	СВХ	солончак?	23.05.22			#VALUE!
16	SVH16	3,28		43,34,04,5	78,05,49,3	78.0970277777778	43.5679166666667	568	СВХ	солончак?	23.05.22			#VALUE!
17	SVH17	2,97		43,34,04,4	78,05,49,7	78.0971388888889	43.5678888888889	570	СВХ	солончак?	23.05.22			#VALUE!
18	SVH18	0,43		43,34,04,4	78,05,50,2	78.0972777777778	43.5678888888889	572	СВХ	солончак?	23.05.22			#VALUE!
19	SVH19	3,23		43,34,14,0	78,05,52,8	78.098	43.5705555555556	564	СВХ-2	солончак?	23.05.22			#VALUE!
20	SVH20	4,68		43,34,14,9	78,05,52,9	78.0980277777778	43.5708055555556	567	СВХ-2	солончак?	23.05.22			#VALUE!
21	SVH21	2,1		43,34,15,1	78,05,52,7	78.0979722222222	43.5708611111111	564	СВХ-2	солончак?	23.05.22			#VALUE!
22	SVH22	1,78		43,34,15,5	78,05,52,6	78.0979444444444	43.5709722222222	563	СВХ-2	солончак?	23.05.22			#VALUE!
23	SVH23	1,54		43,34,15,7	78,05,52,5	78.0979166666667	43.5710277777778	565	СВХ-2	солончак?	23.05.22			#VALUE!
24	SVH24	2,16		43,34,16,0	78,05,52,2	78.0978333333333	43.5711111111111	564	СВХ-2	солончак?	23.05.22			#VALUE!
25	SVH25	2,68		43,34,16,4	78,05,52,0	78.0977777777778	43.5712222222222	563	СВХ-2	солончак?	23.05.22			#VALUE!
26	SVH26	4,65		43,34,16,4	78,05,51,8	78.0977222222222	43.5712222222222	562	СВХ-2	солончак?	23.05.22			#VALUE!
27	SVH27	4,22		43,34,16,6	78,05,51,6	78.0976666666667	43.5712777777778	561	СВХ-2	солончак?	23.05.22			#VALUE!
28	SVH28	2,86		43,34,16,9	78,05,51,4	78.0976111111111	43.5713611111111	560	СВХ-2	солончак?	23.05.22			#VALUE!
29	SVH29	4,27		43,34,17,1	78,05,51,3	78.0975833333333	43.5714166666667	560	СВХ-2	солончак?	23.05.22			#VALUE!
30	SVH30	5,11		43,34,17,4	78,05,51,0	78.0975	43.5715	560	СВХ-2	солончак?	23.05.22			#VALUE!
31	SVH31	0,15	1,97	43,34,04,2	78,05,49,6	78.0971111111111	43.5678333333333	567	СВХ	солончак?	23.05.22	7,77		#VALUE!
32	SVH32	0,82	1	43,34,03,9	78,05,49,7	78.0971388888889	43.56775	570	СВХ	солончак?	23.05.22	7,65		#VALUE!
33	SVH33	2,23	0,86	43,34,03,6	78,05,49,8	78.0971666666667	43.5676666666667	573	СВХ	солончак?	23.05.22	7,89		#VALUE!
34	SVH34	1,15	1,06	43,34,03,2	78,05,49,9	78.0971944444444	43.5675555555556	570	СВХ	солончак?	23.05.22	7,9		#VALUE!
35	SVH35	1,95	2,4	43,34,03,0	78,05,49,9	78.0971944444444	43.5675	568	СВХ	солончак?	23.05.22	7,8		#VALUE!
36	SVH36	1,67	2	43,34,02,7	78,05,50,0	78.0972222222222	43.5674166666667	566	СВХ	солончак?	23.05.22	7,7		#VALUE!
37	SVH37	1,94	2,28	43,34,02,4	78,05,50,1	78.09725	43.5673333333333	564	СВХ	солончак?	23.05.22	7,7		#VALUE!
38	SVH38	1,61	1,6	43,34,02,0	78,05,50,2	78.0972777777778	43.5672222222222	566	СВХ	солончак?	23.05.22	7,75		#VALUE!
39	SVH39	1,68	1,61	43,34,01,8	78,05,50,4	78.0973333333333	43.5671666666667	565	СВХ	солончак?	23.05.22	7,85		#VALUE!
40	SVH	2,17	2	43,34,01,4	78,05,50,5	78.0973611111111	43.5670555555556	565	СВХ	солончак?	23.05.22	7,8		#VALUE!
